model,input_shape,accuracy_mean,precision_mean,recall_mean,f1_mean,roc_auc_mean,roc_auc_std,fit_seconds_mean
LSTM,sequence,0.7981666666666667,0.6267585336579138,0.2245298072470742,0.32835045295017784,0.7043249027523082,0.011201998002095072,3.816484759998275
MLP,tabular,0.8077333333333334,0.6579341038052073,0.27214672556087194,0.38389088452357845,0.6970931724680876,0.01662348101394107,1.6428837000014027
GRU,sequence,0.7821666666666667,0.44904837852206275,0.02560672229233437,0.04602722010976383,0.6852206662739165,0.013401993845320604,4.164187940000557
LSTM_ATTENTION,sequence,0.7899,0.507817844195901,0.14464096022371323,0.2126360293812394,0.6484109306881921,0.01921171927794694,5.761997820003307
CNN_LSTM,sequence,0.7792333333333333,0.1565217391304348,0.0027128862094951017,0.005333333333333334,0.6404239154719961,0.03967304371192261,3.4317910000041594
