model,fit_seconds,learning_rate,batch_size,accuracy,precision,recall,f1,roc_auc
LSTM,3.414177499988,0.001,256,0.79625,0.6794871794871795,0.1497175141242938,0.24537037037037038,0.6901048830205182
LSTM,3.3246855000033975,0.0005,256,0.77875,0.0,0.0,0.0,0.6315618642556369
LSTM,3.696555000002263,0.001,128,0.80125,0.6467391304347826,0.224105461393597,0.3328671328671329,0.7176471299495485
